[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 0. 0. 0. 0.],51.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 0. 0. 0. 0.],14.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 0. 0. 0. 0.],11.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 1. 0. 0. 0.],28.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 0. 0. 1. 0.],26.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 0. 0. 0. 1.],14.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 0. 0. 0. 0.],16.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 1. 0. 0. 0.],12.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 0. 0. 1. 0.],14.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 0. 0. 0. 1.],7.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 1. 0. 0. 0.],26.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 0. 0. 1. 0.],37.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 0. 0. 0. 1.],19.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 1. 0. 1. 0.],34.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 1. 0. 0. 1.],11.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 0. 0. 1. 1.],14.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 1. 0. 0. 0.],32.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 0. 0. 1. 0.],24.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 0. 0. 0. 1.],9.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 1. 0. 1. 0.],5.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 1. 0. 0. 1.],12.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 0. 0. 1. 1.],8.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 1. 0. 1. 0.],74.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 1. 0. 0. 1.],20.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 0. 0. 1. 1.],36.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 0. 1. 0. 1. 1.],87.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 1. 0. 1. 0.],4137.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 1. 0. 0. 1.],30.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 0. 0. 1. 1.],0.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 0. 1. 0. 1. 1.],44.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][0. 1. 1. 0. 1. 1.],4208.0
[0. 0. 0. 0. 0. 0.][1. 1. 1. 0. 1. 1.][1. 1. 1. 0. 1. 1.],0.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 0. 0. 0. 0. 0.],268.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 0. 0. 0. 0. 0.],17.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 1. 0. 0. 0. 0.],119.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 0. 0. 0. 1. 0.],64.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 0. 0. 0. 0. 1.],67.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 1. 0. 0. 0. 0.],111.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 0. 0. 0. 1. 0.],23.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 0. 0. 0. 0. 1.],8.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 2. 0. 0. 0. 0.],18.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 1. 0. 0. 1. 0.],674.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 1. 0. 0. 0. 1.],120.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 0. 0. 0. 1. 1.],459.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 2. 0. 0. 0. 0.],12.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 1. 0. 0. 1. 0.],1004.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 1. 0. 0. 0. 1.],14.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 0. 0. 0. 1. 1.],38.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 2. 0. 0. 1. 0.],5.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 2. 0. 0. 0. 1.],7.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 1. 0. 0. 1. 1.],1740.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 2. 0. 0. 1. 0.],3.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 2. 0. 0. 0. 1.],2.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 1. 0. 0. 1. 1.],0.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][0. 2. 0. 0. 1. 1.],1.0
[0. 0. 0. 0. 0. 0.][1. 2. 0. 0. 1. 1.][1. 2. 0. 0. 1. 1.],0.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 0. 0. 0. 0.],9.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 0. 0. 0. 0.],0.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 1. 0. 0. 0.],13.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 0. 1. 0. 0.],6.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 1. 0. 0. 0.],3.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 1. 0. 1. 0. 0.],3.0
[0. 1. 0. 0. 0. 0.][0. 1. 2. 1. 0. 0.][0. 0. 2. 0. 0. 0.],0.0
